"week","item_name","week_start_date","avg_price_of_item","total_spent","effective_price_per_unit"
1,"Avocados 6 ct","2025-10-01","6.79","47.53","6.79"
1,"Baking Potatoes, 10 lbs","2025-10-01","6.09","12.18","6.09"
1,"Bananas, 3 lbs","2025-10-01","1.89","15.12","1.89"
1,"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct","2025-10-01","11.39","56.95","11.39"
1,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-01","15.39","30.78","15.39"
1,"Cheswick Mild Cheddar & Monterey Jack Cheese, Shredded, 5 lbs","2025-10-01","14.99","29.98","14.99"
1,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-01","6.69","93.66","6.69"
1,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-01","11.39","45.56","11.39"
1,"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct","2025-10-01","12.39","24.78","12.39"
1,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-01","14.09","70.45","14.09"
1,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-01","20.39","81.56","20.39"
1,"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct","2025-10-01","17.19","17.19","17.19"
1,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-01","20.49","40.98","20.49"
1,"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon","2025-10-01","16.79","16.79","16.79"
1,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-01","20.99","20.99","20.99"
1,"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct","2025-10-01","13.09","26.18","13.09"
1,"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz","2025-10-01","8.99","8.99","8.99"
1,"Kinder’s Organic Seasoning, Garlic Butter, 12.2 oz","2025-10-01","8.99","8.99","8.99"
1,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-01","22.89","45.78","22.89"
1,"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon","2025-10-01","3.65","29.20","3.65"
1,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz","2025-10-01","9.89","29.67","9.89"
1,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct","2025-10-01","24.49","48.98","24.49"
1,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","2025-10-01","19.19","76.76","19.19"
1,"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2025-10-01","18.19","145.52","18.19"
1,"Kirkland Signature Non Fat Milk, 1 Gallon","2025-10-01","3.15","15.75","3.15"
1,"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs","2025-10-01","7.99","31.96","7.99"
1,"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","2025-10-01","23.09","554.16","23.09"
1,"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct","2025-10-01","27.99","27.99","27.99"
1,"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct","2025-10-01","13.69","41.07","13.69"
1,"Kirkland Signature Three Berry Blend, 4 lbs","2025-10-01","12.89","64.45","12.89"
1,"Kirkland Signature Whole Milk, 1 Gallon","2025-10-01","3.65","43.80","3.65"
1,"La Banderita 10"" Flour Tortillas, 20 ct","2025-10-01","5.99","11.98","5.99"
1,"Lawry's Coarse Ground Garlic Salt with Parsley, 33 oz","2025-10-01","10.19","10.19","10.19"
1,"Lawry's Seasoned Salt, 40 oz","2025-10-01","8.49","8.49","8.49"
1,"McCormick Cajun Seasoning, 18 oz","2025-10-01","11.39","11.39","11.39"
1,"McCormick Italian Seasoning, 6.25 oz","2025-10-01","6.09","6.09","6.09"
1,"McCormick Premium Taco Seasoning, 24 oz","2025-10-01","7.79","7.79","7.79"
1,"PHILADELPHIA Cream Cheese Spread, Original, 48 oz","2025-10-01","11.79","23.58","11.79"
1,"Premium Blueberries, 18 oz","2025-10-01","5.69","39.83","5.69"
1,"Premium Strawberries, 2 lbs","2025-10-01","6.79","54.32","6.79"
1,"Quaker Instant Oatmeal, Variety Pack, 1.51 oz, 52 ct","2025-10-01","12.79","12.79","12.79"
1,"Rao's Homemade Marinara Sauce, 28 oz, 2 ct","2025-10-01","13.59","40.77","13.59"
1,"Raspberries, 12 oz","2025-10-01","4.29","21.45","4.29"
1,"Scotch-Brite Stainless Steel Scrubber, 16 ct","2025-10-01","12.39","12.39","12.39"
1,"Skippy Creamy Peanut Butter, 48 oz, 2 ct","2025-10-01","13.19","39.57","13.19"
1,"Solo Plastic Fork, Heavyweight, White, 500 ct","2025-10-01","14.99","14.99","14.99"
1,"Solo Plastic Knife, Heavyweight, White, 500 ct","2025-10-01","15.19","15.19","15.19"
1,"Sue Bee Pure Honey, Midwest Raw Unfiltered Honey, 80 oz","2025-10-01","22.59","22.59","22.59"
1,"Sweet Baby Ray's Barbecue Sauce, 160 oz","2025-10-01","13.09","13.09","13.09"
1,"Thomas' Bagels, Everything, 12 ct","2025-10-01","7.29","43.74","7.29"
1,"Village Hearth Cottage White Bread, 24 oz, 2 ct","2025-10-01","6.19","24.76","6.19"
2,"Avocados 6 ct","2025-10-08","6.79","47.53","6.79"
2,"Baking Potatoes, 10 lbs","2025-10-08","7.09","14.18","7.09"
2,"Bananas, 3 lbs","2025-10-08","1.89","7.56","1.89"
2,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-08","15.59","31.18","15.59"
2,"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs","2025-10-08","100.59","100.59","100.59"
2,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-08","6.69","93.66","6.69"
2,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-08","11.39","34.17","11.39"
2,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-08","14.09","70.45","14.09"
2,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-08","20.39","61.17","20.39"
2,"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct","2025-10-08","17.19","17.19","17.19"
2,"Extra Large Eggs, 15 Dozen","2025-10-08","45.79","45.79","45.79"
2,"Extra Sugar Free Chewing Gum, Mint Variety Pack, 15 Sticks, 18 ct","2025-10-08","20.59","41.18","20.59"
2,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-08","20.49","61.47","20.49"
2,"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct","2025-10-08","10.09","10.09","10.09"
2,"Heinz Tomato Ketchup, 44 oz, 3 ct","2025-10-08","13.19","13.19","13.19"
2,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-08","20.99","20.99","20.99"
2,"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct","2025-10-08","18.19","54.57","18.19"
2,"King's Hawaiian Sweet Rolls, Original, 32 ct","2025-10-08","7.69","15.38","7.69"
2,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-08","22.89","45.78","22.89"
2,"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon","2025-10-08","3.69","29.52","3.69"
2,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz","2025-10-08","9.89","29.67","9.89"
2,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct","2025-10-08","24.49","48.98","24.49"
2,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","2025-10-08","20.19","40.38","20.19"
2,"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2025-10-08","18.19","218.28","18.19"
2,"Kirkland Signature Non Fat Milk, 1 Gallon","2025-10-08","3.15","15.75","3.15"
2,"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs","2025-10-08","7.99","63.92","7.99"
2,"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","2025-10-08","23.09","554.16","23.09"
2,"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct","2025-10-08","27.99","27.99","27.99"
2,"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct","2025-10-08","13.69","41.07","13.69"
2,"Kirkland Signature Three Berry Blend, 4 lbs","2025-10-08","12.89","64.45","12.89"
2,"Kirkland Signature Whey Protein Powder, Creamy Chocolate, 5.4 lbs","2025-10-08","54.99","219.96","54.99"
2,"Kirkland Signature Whole Milk, 1 Gallon","2025-10-08","3.99","31.92","3.99"
2,"La Banderita 10"" Flour Tortillas, 20 ct","2025-10-08","5.99","11.98","5.99"
2,"Large Eggs, 15 Dozen","2025-10-08","45.59","45.59","45.59"
2,"Mixed Bell Peppers, 6 ct","2025-10-08","7.89","15.78","7.89"
2,"PHILADELPHIA Cream Cheese Spread, Original, 48 oz","2025-10-08","11.79","23.58","11.79"
2,"Premium Blueberries, 18 oz","2025-10-08","5.09","35.63","5.09"
2,"Premium Strawberries, 2 lbs","2025-10-08","6.79","54.32","6.79"
2,"Rao's Homemade Marinara Sauce, 28 oz, 2 ct","2025-10-08","13.59","40.77","13.59"
2,"Raspberries, 12 oz","2025-10-08","6.09","30.45","6.09"
2,"Russell International 7"" Santoku Knife, 2 ct","2025-10-08","21.59","21.59","21.59"
2,"Scotch-Brite Stainless Steel Scrubber, 16 ct","2025-10-08","12.39","12.39","12.39"
2,"Shredded Lettuce, 5 lbs","2025-10-08","7.59","7.59","7.59"
2,"Skippy Creamy Peanut Butter, 48 oz, 2 ct","2025-10-08","13.19","39.57","13.19"
2,"Solo Plastic Fork, Heavyweight, White, 500 ct","2025-10-08","14.99","14.99","14.99"
2,"Sue Bee Pure Honey, Midwest Raw Unfiltered Honey, 80 oz","2025-10-08","22.59","22.59","22.59"
2,"Thomas' Bagels, Everything, 12 ct","2025-10-08","7.29","21.87","7.29"
2,"Thomas' Bagels, Plain, 12 ct","2025-10-08","7.29","14.58","7.29"
2,"Tomatoes On The Vine, 4 lbs","2025-10-08","8.19","8.19","8.19"
2,"Village Hearth Cottage White Bread, 24 oz, 2 ct","2025-10-08","6.19","12.38","6.19"
2,"Winco 5 Quart Mixing Bowl, Standard Weight, Stainless Steel","2025-10-08","2.59","2.59","2.59"
3,"Avocados 6 ct","2025-10-15","6.79","47.53","6.79"
3,"Baking Potatoes, 10 lbs","2025-10-15","6.29","6.29","6.29"
3,"Bananas, 3 lbs","2025-10-15","1.89","7.56","1.89"
3,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-15","15.49","61.96","15.49"
3,"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs","2025-10-15","100.59","100.59","100.59"
3,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-15","6.69","113.73","6.69"
3,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-15","11.39","22.78","11.39"
3,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-15","14.09","70.45","14.09"
3,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-15","20.39","61.17","20.39"
3,"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct","2025-10-15","17.19","17.19","17.19"
3,"Extra Large Eggs, 15 Dozen","2025-10-15","45.79","45.79","45.79"
3,"Extra Sugar Free Chewing Gum, Mint Variety Pack, 15 Sticks, 18 ct","2025-10-15","20.59","41.18","20.59"
3,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-15","20.49","61.47","20.49"
3,"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct","2025-10-15","10.09","10.09","10.09"
3,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-15","20.99","20.99","20.99"
3,"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct","2025-10-15","18.19","36.38","18.19"
3,"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz","2025-10-15","8.99","8.99","8.99"
3,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-15","22.89","45.78","22.89"
3,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz","2025-10-15","9.89","29.67","9.89"
3,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct","2025-10-15","24.49","48.98","24.49"
3,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","2025-10-15","20.19","80.76","20.19"
3,"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2025-10-15","18.19","272.85","18.19"
3,"Kirkland Signature Non Fat Milk, 1 Gallon","2025-10-15","3.15","25.20","3.15"
3,"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs","2025-10-15","7.99","79.90","7.99"
3,"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","2025-10-15","23.09","554.16","23.09"
3,"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz","2025-10-15","6.09","6.09","6.09"
3,"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct","2025-10-15","27.99","27.99","27.99"
3,"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct","2025-10-15","13.69","41.07","13.69"
3,"Kirkland Signature Whole Milk, 1 Gallon","2025-10-15","3.15","25.20","3.15"
3,"La Banderita 10"" Flour Tortillas, 20 ct","2025-10-15","5.99","17.97","5.99"
3,"Large Eggs, 15 Dozen","2025-10-15","45.59","45.59","45.59"
3,"Mixed Bell Peppers, 6 ct","2025-10-15","7.89","23.67","7.89"
3,"PHILADELPHIA Cream Cheese Spread, Original, 48 oz","2025-10-15","11.79","23.58","11.79"
3,"Premium Blueberries, 18 oz","2025-10-15","7.19","50.33","7.19"
3,"Premium Strawberries, 2 lbs","2025-10-15","6.39","51.12","6.39"
3,"Quaker Instant Oatmeal, Variety Pack, 1.51 oz, 52 ct","2025-10-15","12.79","25.58","12.79"
3,"Rao's Homemade Marinara Sauce, 28 oz, 2 ct","2025-10-15","13.59","40.77","13.59"
3,"Raspberries, 12 oz","2025-10-15","5.39","26.95","5.39"
3,"Shredded Lettuce, 5 lbs","2025-10-15","7.59","7.59","7.59"
3,"Skippy Creamy Peanut Butter, 48 oz, 2 ct","2025-10-15","13.19","39.57","13.19"
3,"Solo Plastic Fork, Heavyweight, White, 500 ct","2025-10-15","14.99","14.99","14.99"
3,"Sue Bee Pure Honey, Midwest Raw Unfiltered Honey, 80 oz","2025-10-15","22.59","22.59","22.59"
3,"Thomas' Bagels, Everything, 12 ct","2025-10-15","7.29","29.16","7.29"
3,"Tomatoes On The Vine, 4 lbs","2025-10-15","8.19","8.19","8.19"
3,"Village Hearth Cottage White Bread, 24 oz, 2 ct","2025-10-15","6.19","12.38","6.19"
3,"Yellow Onions 10 lbs","2025-10-15","7.99","7.99","7.99"
4,"Avocados 6 ct","2025-10-22","6.79","47.53","6.79"
4,"Baking Potatoes, 10 lbs","2025-10-22","6.09","6.09","6.09"
4,"Bananas, 3 lbs","2025-10-22","1.89","15.12","1.89"
4,"Barilla for Professionals Elbows Pasta, Classic, 10 lbs, 2 ct","2025-10-22","26.99","26.99","26.99"
4,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-22","15.29","61.16","15.29"
4,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-22","6.69","113.73","6.69"
4,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-22","11.39","34.17","11.39"
4,"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct","2025-10-22","14.79","14.79","14.79"
4,"Connaisseur #4 Cone Coffee Filter, 400 ct","2025-10-22","6.59","6.59","6.59"
4,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-22","14.09","70.45","14.09"
4,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-22","20.39","40.78","20.39"
4,"Extra Large Eggs, 15 Dozen","2025-10-22","45.79","45.79","45.79"
4,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-22","20.49","102.45","20.49"
4,"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon","2025-10-22","16.79","16.79","16.79"
4,"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct","2025-10-22","10.09","10.09","10.09"
4,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-22","20.99","20.99","20.99"
4,"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct","2025-10-22","13.09","26.18","13.09"
4,"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct","2025-10-22","18.19","36.38","18.19"
4,"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz","2025-10-22","8.99","8.99","8.99"
4,"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs","2025-10-22","23.79","23.79","23.79"
4,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-22","22.89","91.56","22.89"
4,"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon","2025-10-22","3.15","12.60","3.15"
4,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz","2025-10-22","9.89","29.67","9.89"
4,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct","2025-10-22","24.49","48.98","24.49"
4,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","2025-10-22","20.19","161.52","20.19"
4,"Kirkland Signature IQF Blueberries, 5 lbs","2025-10-22","13.79","13.79","13.79"
4,"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2025-10-22","18.19","363.80","18.19"
4,"Kirkland Signature Non Fat Milk, 1 Gallon","2025-10-22","3.15","12.60","3.15"
4,"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs","2025-10-22","10.19","30.57","10.19"
4,"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs","2025-10-22","7.99","79.90","7.99"
4,"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","2025-10-22","23.09","554.16","23.09"
4,"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct","2025-10-22","27.99","27.99","27.99"
4,"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct","2025-10-22","13.69","41.07","13.69"
4,"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 50 lbs","2025-10-22","42.49","42.49","42.49"
4,"Kirkland Signature Three Berry Blend, 4 lbs","2025-10-22","12.89","90.23","12.89"
4,"Kirkland Signature Whole Milk, 1 Gallon","2025-10-22","3.15","12.60","3.15"
4,"La Banderita 10"" Flour Tortillas, 20 ct","2025-10-22","5.99","17.97","5.99"
4,"Large Eggs, 15 Dozen","2025-10-22","45.59","45.59","45.59"
4,"McCormick Granulated Onion, 18 oz","2025-10-22","7.09","7.09","7.09"
4,"McCormick Montreal Steak Seasoning, 29 oz","2025-10-22","8.49","8.49","8.49"
4,"Mixed Bell Peppers, 6 ct","2025-10-22","7.89","23.67","7.89"
4,"Nutella Hazelnut Spread with Cocoa, 33.5 oz, 2 ct","2025-10-22","16.79","16.79","16.79"
4,"PHILADELPHIA Cream Cheese Spread, Original, 48 oz","2025-10-22","11.39","22.78","11.39"
4,"Premium Blueberries, 18 oz","2025-10-22","7.19","50.33","7.19"
4,"Premium Strawberries, 2 lbs","2025-10-22","6.79","54.32","6.79"
4,"Quaker Instant Oatmeal, Variety Pack, 1.51 oz, 52 ct","2025-10-22","12.79","25.58","12.79"
4,"Rao's Homemade Marinara Sauce, 28 oz, 2 ct","2025-10-22","13.59","40.77","13.59"
4,"Raspberries, 12 oz","2025-10-22","4.59","22.95","4.59"
4,"Scotch-Brite Scrub Sponges, Heavy Duty, Yellow, 24 ct","2025-10-22","16.79","16.79","16.79"
4,"Shredded Lettuce, 5 lbs","2025-10-22","7.59","7.59","7.59"
4,"Skippy Creamy Peanut Butter, 48 oz, 2 ct","2025-10-22","13.19","39.57","13.19"
4,"Solo Plastic Fork, Heavyweight, White, 500 ct","2025-10-22","14.99","14.99","14.99"
4,"Sue Bee Pure Honey, Midwest Raw Unfiltered Honey, 80 oz","2025-10-22","22.59","22.59","22.59"
4,"Sweet Baby Ray's Barbecue Sauce, 160 oz","2025-10-22","13.09","13.09","13.09"
4,"Thomas' Bagels, Everything, 12 ct","2025-10-22","7.29","43.74","7.29"
4,"Thomas' Bagels, Plain, 12 ct","2025-10-22","7.29","43.74","7.29"
4,"Tide PODS Laundry Detergent, Free & Gentle, HE Compatible, Unscented, 152 ct","2025-10-22","34.99","34.99","34.99"
4,"Tomatoes On The Vine, 4 lbs","2025-10-22","8.19","8.19","8.19"
4,"Village Hearth Cottage White Bread, 24 oz, 2 ct","2025-10-22","6.19","12.38","6.19"
5,"Avocados 6 ct","2025-10-29","6.79","47.53","6.79"
5,"Baking Potatoes, 10 lbs","2025-10-29","6.29","6.29","6.29"
5,"Bananas, 3 lbs","2025-10-29","1.89","15.12","1.89"
5,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-29","14.99","59.96","14.99"
5,"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs","2025-10-29","82.99","82.99","82.99"
5,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-29","6.69","113.73","6.69"
5,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-29","11.39","34.17","11.39"
5,"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct","2025-10-29","14.79","14.79","14.79"
5,"Dawn Platinum Advanced Power Liquid Dish Detergent, Fresh Scent, 90 fl oz","2025-10-29","14.19","14.19","14.19"
5,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-29","14.09","70.45","14.09"
5,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-29","20.39","40.78","20.39"
5,"Extra Large Eggs, 15 Dozen","2025-10-29","45.79","45.79","45.79"
5,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-29","20.49","102.45","20.49"
5,"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon","2025-10-29","16.79","16.79","16.79"
5,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-29","20.99","20.99","20.99"
5,"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct","2025-10-29","13.09","26.18","13.09"
5,"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct","2025-10-29","18.19","36.38","18.19"
5,"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz","2025-10-29","8.99","8.99","8.99"
5,"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs","2025-10-29","23.79","23.79","23.79"
5,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-29","22.89","91.56","22.89"
5,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz","2025-10-29","9.89","29.67","9.89"
5,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct","2025-10-29","24.49","48.98","24.49"
5,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb","2025-10-29","19.19","115.14","19.19"
5,"Kirkland Signature IQF Blueberries, 5 lbs","2025-10-29","13.79","13.79","13.79"
5,"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs","2025-10-29","18.19","363.80","18.19"
5,"Kirkland Signature Non Fat Milk, 1 Gallon","2025-10-29","3.15","12.60","3.15"
5,"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs","2025-10-29","10.19","30.57","10.19"
5,"Kirkland Signature Organic Ground Beef, 85% Lean 15% Fat, 4 lbs","2025-10-29","23.09","554.16","23.09"
5,"Kirkland Signature Outdoor Trash Bags, 20% PCR, Black, 50 Gallon, 70 ct","2025-10-29","27.99","27.99","27.99"
5,"Kirkland Signature Plastic Cold Cup, Red, 18 oz, 240 ct","2025-10-29","13.69","41.07","13.69"
5,"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 50 lbs","2025-10-29","42.49","42.49","42.49"
5,"Kirkland Signature Three Berry Blend, 4 lbs","2025-10-29","12.89","90.23","12.89"
