"item_name","week","week_start_date","total_qty_ordered"
"Avocados 6 ct",1,"2025-10-01","7"
"Avocados 6 ct",2,"2025-10-08","7"
"Avocados 6 ct",3,"2025-10-15","7"
"Avocados 6 ct",4,"2025-10-22","7"
"Avocados 6 ct",5,"2025-10-29","7"
"Avocados 6 ct",6,"2025-11-05","7"
"Avocados 6 ct",7,"2025-11-12","7"
"Avocados 6 ct",8,"2025-11-19","7"
"Avocados 6 ct",9,"2025-11-26","7"
"Baking Potatoes, 10 lbs",1,"2025-10-01","2"
"Baking Potatoes, 10 lbs",2,"2025-10-08","2"
"Baking Potatoes, 10 lbs",3,"2025-10-15","1"
"Baking Potatoes, 10 lbs",4,"2025-10-22","1"
"Baking Potatoes, 10 lbs",5,"2025-10-29","1"
"Baking Potatoes, 10 lbs",6,"2025-11-05","1"
"Baking Potatoes, 10 lbs",7,"2025-11-12","1"
"Baking Potatoes, 10 lbs",8,"2025-11-19","1"
"Baking Potatoes, 10 lbs",9,"2025-11-26","1"
"Bananas, 3 lbs",1,"2025-10-01","8"
"Bananas, 3 lbs",2,"2025-10-08","4"
"Bananas, 3 lbs",3,"2025-10-15","4"
"Bananas, 3 lbs",4,"2025-10-22","8"
"Bananas, 3 lbs",5,"2025-10-29","8"
"Bananas, 3 lbs",6,"2025-11-05","8"
"Bananas, 3 lbs",7,"2025-11-12","8"
"Bananas, 3 lbs",8,"2025-11-19","8"
"Bananas, 3 lbs",9,"2025-11-26","8"
"Barilla for Professionals Elbows Pasta, Classic, 10 lbs, 2 ct",4,"2025-10-22","1"
"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct",1,"2025-10-01","5"
"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct",6,"2025-11-05","3"
"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct",7,"2025-11-12","3"
"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct",8,"2025-11-19","3"
"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct",9,"2025-11-26","3"
"Capresso 12 Cup Programmable Coffee Maker",7,"2025-11-12","2"
"Cara Cara Oranges, 5 lbs",8,"2025-11-19","0"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",1,"2025-10-01","2"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",2,"2025-10-08","2"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",3,"2025-10-15","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",4,"2025-10-22","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",5,"2025-10-29","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",6,"2025-11-05","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",7,"2025-11-12","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",8,"2025-11-19","4"
"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs",9,"2025-11-26","4"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",1,"2025-10-01","0"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",2,"2025-10-08","1"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",3,"2025-10-15","1"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",4,"2025-10-22","0"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",5,"2025-10-29","1"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",6,"2025-11-05","1"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",7,"2025-11-12","1"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",8,"2025-11-19","0"
"Case Sale Jumbo Halal Chicken Breast, Boneless, Skinless, 40 lbs",9,"2025-11-26","0"
"Cheswick Mild Cheddar & Monterey Jack Cheese, Shredded, 5 lbs",1,"2025-10-01","2"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",1,"2025-10-01","14"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",2,"2025-10-08","14"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",3,"2025-10-15","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",4,"2025-10-22","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",5,"2025-10-29","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",6,"2025-11-05","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",7,"2025-11-12","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",8,"2025-11-19","17"
"Chobani Blended Greek Yogurt, Vanilla, 40 oz",9,"2025-11-26","17"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",1,"2025-10-01","4"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",2,"2025-10-08","3"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",3,"2025-10-15","2"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",4,"2025-10-22","3"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",5,"2025-10-29","3"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",8,"2025-11-19","0"
"Cholula Hot Sauce, Original, 12 fl oz, 2 ct",9,"2025-11-26","0"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",4,"2025-10-22","1"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",5,"2025-10-29","1"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",6,"2025-11-05","1"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",7,"2025-11-12","1"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",8,"2025-11-19","1"
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2 ct",9,"2025-11-26","1"
"Christopher Ranch Monviso Peeled Garlic, 3 lbs",9,"2025-11-26","1"
"Connaisseur #4 Cone Coffee Filter, 400 ct",4,"2025-10-22","1"
"Connaisseur #4 Cone Coffee Filter, 400 ct",7,"2025-11-12","1"
"Dawn Platinum Advanced Power Liquid Dish Detergent, Fresh Scent, 90 fl oz",5,"2025-10-29","1"
"Dawn Platinum Advanced Power Liquid Dish Detergent, Fresh Scent, 90 fl oz",6,"2025-11-05","1"
"Dawn Platinum Advanced Power Liquid Dish Detergent, Fresh Scent, 90 fl oz",7,"2025-11-12","1"
"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct",1,"2025-10-01","2"
"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct",6,"2025-11-05","2"
"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct",7,"2025-11-12","2"
"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct",8,"2025-11-19","2"
"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct",9,"2025-11-26","2"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",1,"2025-10-01","5"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",2,"2025-10-08","5"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",3,"2025-10-15","5"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",4,"2025-10-22","5"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",5,"2025-10-29","5"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",6,"2025-11-05","6"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",7,"2025-11-12","8"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",8,"2025-11-19","8"
"Dixie Ultra Paper Bowl, 20 oz, 135 ct",9,"2025-11-26","8"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",1,"2025-10-01","4"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",2,"2025-10-08","3"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",3,"2025-10-15","3"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",4,"2025-10-22","2"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",5,"2025-10-29","2"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",6,"2025-11-05","2"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",7,"2025-11-12","3"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",8,"2025-11-19","3"
"Dixie Ultra Paper Plate, 8-1/2"", 240 ct",9,"2025-11-26","3"
"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct",1,"2025-10-01","1"
"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct",2,"2025-10-08","1"
"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct",3,"2025-10-15","1"
"Dunkin' Original Blend Ground Coffee, Medium Roast, 40 oz",7,"2025-11-12","1"
"Dunkin' Original Blend Ground Coffee, Medium Roast, 40 oz",8,"2025-11-19","1"
"Dunkin' Original Blend Ground Coffee, Medium Roast, 40 oz",9,"2025-11-26","1"
"Extra Large Eggs, 15 Dozen",2,"2025-10-08","1"
"Extra Large Eggs, 15 Dozen",3,"2025-10-15","1"
"Extra Large Eggs, 15 Dozen",4,"2025-10-22","1"
"Extra Large Eggs, 15 Dozen",5,"2025-10-29","1"
"Extra Large Eggs, 15 Dozen",6,"2025-11-05","0"
"Extra Large Eggs, 15 Dozen",7,"2025-11-12","1"
"Extra Large Eggs, 15 Dozen",8,"2025-11-19","1"
"Extra Large Eggs, 15 Dozen",9,"2025-11-26","1"
"Extra Sugar Free Chewing Gum, Mint Variety Pack, 15 Sticks, 18 ct",2,"2025-10-08","2"
"Extra Sugar Free Chewing Gum, Mint Variety Pack, 15 Sticks, 18 ct",3,"2025-10-15","2"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",1,"2025-10-01","2"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",2,"2025-10-08","3"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",3,"2025-10-15","3"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",4,"2025-10-22","5"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",5,"2025-10-29","5"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",6,"2025-11-05","5"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",7,"2025-11-12","3"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",8,"2025-11-19","3"
"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct",9,"2025-11-26","3"
"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon",1,"2025-10-01","1"
"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon",4,"2025-10-22","1"
"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon",5,"2025-10-29","1"
"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon",6,"2025-11-05","1"
"Frigidaire Gallery Top Mount Refrigerator, 7.5 cu ft, Stainless Steel",7,"2025-11-12","1"
"Gourmia French Door XL Digital Air Fryer Oven, Stainless Steel",9,"2025-11-26","1"
"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct",2,"2025-10-08","1"
"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct",3,"2025-10-15","1"
"Heinz Ketchup, Relish, Mustard Grill Pack, 4 ct",4,"2025-10-22","1"
"Heinz Tomato Ketchup, 44 oz, 3 ct",2,"2025-10-08","1"
"Hellmann's Real Mayonnaise, 1 Gallon",1,"2025-10-01","1"
"Hellmann's Real Mayonnaise, 1 Gallon",2,"2025-10-08","1"
"Hellmann's Real Mayonnaise, 1 Gallon",3,"2025-10-15","1"
"Hellmann's Real Mayonnaise, 1 Gallon",4,"2025-10-22","1"
"Hellmann's Real Mayonnaise, 1 Gallon",5,"2025-10-29","1"
"Hellmann's Real Mayonnaise, 1 Gallon",6,"2025-11-05","1"
"Hellmann's Real Mayonnaise, 1 Gallon",7,"2025-11-12","1"
"Hellmann's Real Mayonnaise, 1 Gallon",8,"2025-11-19","1"
"Hellmann's Real Mayonnaise, 1 Gallon",9,"2025-11-26","1"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",1,"2025-10-01","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",4,"2025-10-22","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",5,"2025-10-29","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",6,"2025-11-05","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",7,"2025-11-12","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",8,"2025-11-19","2"
"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct",9,"2025-11-26","2"
"Honeycrisp Apples, 5 lbs",6,"2025-11-05","1"
"Honeycrisp Apples, 5 lbs",7,"2025-11-12","1"
"Honeycrisp Apples, 5 lbs",8,"2025-11-19","1"
"Kellogg's Cereal Cups, Family Variety Pack, 12 ct",6,"2025-11-05","3"
"Kellogg's Cereal Cups, Family Variety Pack, 12 ct",7,"2025-11-12","3"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",7,"2025-11-12","5"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",8,"2025-11-19","5"
"Kellogg's Cereal Mini Boxes, Variety Pack, 25 ct",9,"2025-11-26","5"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",2,"2025-10-08","3"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",3,"2025-10-15","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",4,"2025-10-22","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",5,"2025-10-29","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",6,"2025-11-05","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",7,"2025-11-12","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",8,"2025-11-19","2"
"Kerrygold Pure Irish Butter, Salted, 8 oz, 4 ct",9,"2025-11-26","2"
"Kikkoman Soy Sauce, 1 Gallon",8,"2025-11-19","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",1,"2025-10-01","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",3,"2025-10-15","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",4,"2025-10-22","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",5,"2025-10-29","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",6,"2025-11-05","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",7,"2025-11-12","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",8,"2025-11-19","1"
"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz",9,"2025-11-26","1"
"Kinder’s Organic Seasoning, Garlic Butter, 12.2 oz",1,"2025-10-01","1"
"King's Hawaiian Sweet Rolls, Original, 32 ct",2,"2025-10-08","2"
"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs",4,"2025-10-22","1"
"Kirkland Signature 100% Colombian Ground Coffee, Dark Roast, 3 lbs",5,"2025-10-29","1"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",1,"2025-10-01","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",2,"2025-10-08","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",3,"2025-10-15","2"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",4,"2025-10-22","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",5,"2025-10-29","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",6,"2025-11-05","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",7,"2025-11-12","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",8,"2025-11-19","4"
"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",9,"2025-11-26","3"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",1,"2025-10-01","8"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",2,"2025-10-08","8"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",4,"2025-10-22","4"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",7,"2025-11-12","5"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",8,"2025-11-19","5"
"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon",9,"2025-11-26","5"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",1,"2025-10-01","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",2,"2025-10-08","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",3,"2025-10-15","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",4,"2025-10-22","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",5,"2025-10-29","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",6,"2025-11-05","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",7,"2025-11-12","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",8,"2025-11-19","3"
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",9,"2025-11-26","3"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",1,"2025-10-01","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",2,"2025-10-08","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",3,"2025-10-15","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",4,"2025-10-22","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",5,"2025-10-29","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",6,"2025-11-05","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",7,"2025-11-12","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",8,"2025-11-19","2"
"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",9,"2025-11-26","2"
"Kirkland Signature Coarse Ground Malabar Black Pepper, 12.7 oz",6,"2025-11-05","1"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",1,"2025-10-01","4"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",2,"2025-10-08","2"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",3,"2025-10-15","4"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",4,"2025-10-22","8"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",5,"2025-10-29","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",6,"2025-11-05","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",7,"2025-11-12","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",8,"2025-11-19","6"
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",9,"2025-11-26","6"
"Kirkland Signature Granulated Garlic, 18 oz",6,"2025-11-05","1"
"Kirkland Signature IQF Blueberries, 5 lbs",4,"2025-10-22","1"
"Kirkland Signature IQF Blueberries, 5 lbs",5,"2025-10-29","1"
"Kirkland Signature IQF Blueberries, 5 lbs",6,"2025-11-05","1"
"Kirkland Signature IQF Blueberries, 5 lbs",7,"2025-11-12","1"
"Kirkland Signature IQF Blueberries, 5 lbs",8,"2025-11-19","1"
"Kirkland Signature IQF Blueberries, 5 lbs",9,"2025-11-26","1"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",1,"2025-10-01","8"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",2,"2025-10-08","12"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",3,"2025-10-15","15"
"Kirkland Signature Lightly Breaded Chicken Breast Chunks, Boneless Skinless, 4 lbs",4,"2025-10-22","20"
